username;date;retweets;favorites;text;geo;location;mentions;hashtags;id;query;permalink
Ilove_hollandia;2017-12-14 19:36;0;0;"Begin niet aan @eneco Behalve de torenhoge stroom en gasprijzen hanteren ze ook voor hun niet werkende #toon een prijs van €4,50 per maand ! Ze smeren je een 3 of 4 jarig contract aan zodat je vast zit. Alleen maar storingen en ik spreek uit ervaring (2 jaar) #toon #eneco #oxxio pic.twitter.com/9OfrLJvxcT";;;@eneco;#toon #toon #eneco #oxxio;"941361298276802560";storingen;https://twitter.com/Ilove_hollandia/status/941361298276802560
Middelburgbaan;2017-12-14 17:58;0;0;"#vacature Allround Storings- Onderhoudsmonteur: Voor een bedrijf in de voedingsmiddelenindustrie in de regio Zuid -Holland zoeken wij een: Storings- Onderhoudsmonteur. Werkzaamheden: Lokaliseren en verhelpen van storingen aan… http:// dlvr.it/Q5xrTJ #Middelburg";;Middelburg;;#vacature #Middelburg;"941336495050276864";storingen;https://twitter.com/Middelburgbaan/status/941336495050276864
werkenbijstedin;2017-12-14 17:19;0;0;"Nieuwe #vacature - Medewerker storingen gas en elektra #stedin , #Rotterdam , https://www. stedin.net/werken-bij/vac atures/medewerker-storingen-gas-en-elektra …";;Rotterdam Utrecht Delft Hnoord;;#vacature #stedin #Rotterdam;"941326840551100421";storingen;https://twitter.com/werkenbijstedin/status/941326840551100421
hansaikema;2017-12-14 17:11;0;0;"@XS4ALL_storing geen idee wat voor dwaze criteria jullie hanteren, maar bij 2 uur internet eruit verwacht ik toch wel een ‘actuele storingen ’ vermelding (die wel al@anderhalf uur bekend is op de autoresponse van de helpdesk) #internetstoring #Nieuwegein";;;@XS4ALL_storing @anderhalf;#internetstoring #Nieuwegein;"941324779474255873";storingen;https://twitter.com/hansaikema/status/941324779474255873
RubenDOSke;2017-12-14 16:41;0;0;"@PayPalNederland Zijn er storingen in België? Kan mijn rekening niet koppelen aan mijn PayPal. Altijd dezelfde error: 'Uw verzoek kan helaas niet worden verwerkt. Probeer het later opnieuw.'";;Belgium;@PayPalNederland;;"941317226895958016";storingen;https://twitter.com/RubenDOSke/status/941317226895958016
_devallei;2017-12-14 15:54;0;0;"Maak op de juiste manier gebruik van de ondergrondse restafvalcontainers Veel inwoners moeten wennen aan het gebruik van de ondergrondse restafvalcontainer. Relatief veel storingen ontstaan op dit moment... http:// ift.tt/2ksqyu1";;;;;"941305405631815680";storingen;https://twitter.com/_devallei/status/941305405631815680
Stibbe;2017-12-14 13:53;0;0;"Voor Stibbe in Amsterdam zoeken wij een ICT Servicedesk-medewerker. Als servicedeskmedewerker ben je onder andere bezig met het oplossen van fouten en storingen , het registreren van servicedeskvragen en het controleren van de voortgang ervan. http:// stibbe.law/4h1k2p #vacature pic.twitter.com/sNwFIsfHiC";;;;#vacature;"941274836634136578";storingen;https://twitter.com/Stibbe/status/941274836634136578
EnexisStoringen;2017-12-14 13:45;0;0;"Je kunt de storing in Haaksbergen ook terugvinden in het overzicht van actuele storingen . Hij is aangemeld op 7481WE. Sterkte. ^Marieke";;'s Hertogenbosch;;;"941273053929107456";storingen;https://twitter.com/EnexisStoringen/status/941273053929107456
beshuis1;2017-12-14 13:39;0;0;"Oke we wachten af, bij de gemelde link zijn er geen storingen bekend #7481gm";;Deurningen;;#7481gm;"941271447284183041";storingen;https://twitter.com/beshuis1/status/941271447284183041
ZiggoWebcare;2017-12-14 12:42;0;1;"Goed dat je het aangeeft, Jeroen. Dit betekent dat het modem niet de oorzaak is van je wifi storing maar door andere oorzaken je wifi is verstoord. Op https://www. ziggo.nl/klantenservice /wifi/meer-in-de-lucht/ … vind je meer oorzaken van wifi storingen en tips om je wifi te verbeteren. ^Jamyla";;Utrecht;;;"941257106388340736";storingen;https://twitter.com/ZiggoWebcare/status/941257106388340736
dixidust;2017-12-14 12:31;0;0;"Na dagen chatten met Vodafone via WiFi.. Pulsen en mobiel uit en aan... Toch maar gebeld dat gaat gelukkig nog.. Eindelijk doorverwezen naar de technische dienst Dan hoor je pas dat er storingen zijn... Waarom weet het helpdesk personeel dat dan niet.???";;culemborg;;;"941254369923780613";storingen;https://twitter.com/dixidust/status/941254369923780613
KPNwebcare;2017-12-14 12:19;0;0;"Hey Wiebe. Waar doel je precies op? We hebben nog steeds een aantal interne storingen , maar ik kan je misschien wel verder helpen. :)";;Nederland;;;"941251213898772481";storingen;https://twitter.com/KPNwebcare/status/941251213898772481
EftelingStats;2017-12-14 12:00;0;1;"Er zijn vandaag al3 storingen bekend in de #Efteling . Hier zie je welke dat zijn > http:// bit.ly/2jGtkLe";;;;#Efteling;"941246398237958144";storingen;https://twitter.com/EftelingStats/status/941246398237958144
CDA_BenPeters;2017-12-14 11:58;0;0;"Omdat dit buurt enegiesystemen met opslagcapaciteit mogelijk maakt. Duitsland heeft geen saldering en daar zie je een ontwikkeling naar efficiente onafhankelijke enegiesystemen. Maakt de enegie voorziening mínder kwetsbaar. Storingen in het netwerk hebben steeds inpackt!";;Grave;;;"941246100085886976";storingen;https://twitter.com/CDA_BenPeters/status/941246100085886976
Stedin;2017-12-14 11:56;0;0;"Hi! Via deze link is zijn de storingen zichtbaar en kun jij zien wat de oorzaak is geweest: https://www. stedin.net/storing-en-ond erhoud/storingshistorie … ^Melanie";;Rotterdam Zuid-Holland Utrecht;;;"941245617820651520";storingen;https://twitter.com/Stedin/status/941245617820651520
AdvNadineMaes;2017-12-14 11:37;1;1;"Bizz ‘Intense’ klant bij @proximus maar al een hele week (!) ernstige storingen tel / internet .... En support beperkt tot automatisch antwoordapparaat #Ilfautlefaire #Fail";;Sint-Niklaas;@proximus;#Ilfautlefaire #Fail;"941240670240550913";storingen;https://twitter.com/AdvNadineMaes/status/941240670240550913
